,EPIC,RAJ2000,DEJ2000,Vmag,Ksmag,(V-K)0,Prot,Per2,Per3,Per4,Amp,LC,Mm,LPer,H10,vsini,PapIII,PapII,Fig,designation,source_id,gaia_ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_primary_flag,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,phot_variable_flag,l,b,ecl_lon,ecl_lat,teff_val,teff_percentile_lower,teff_percentile_upper,a_g_val,a_g_percentile_lower,a_g_percentile_upper,e_bp_min_rp_val,e_bp_min_rp_percentile_lower,e_bp_min_rp_percentile_upper,radius_val,radius_percentile_lower,radius_percentile_upper,lum_val,lum_percentile_lower,lum_percentile_upper,epic_number,ra_epic,dec_epic,r_est,r_lo,r_hi,r_length_prior,r_result_flag,r_modality_flag,tm_name,k2_campaign_str,k2_type,k2_lcflag,k2_scflag,k2_teff,k2_tefferr1,k2_tefferr2,k2_logg,k2_loggerr1,k2_loggerr2,k2_metfe,k2_metfeerr1,k2_metfeerr2,k2_rad,k2_raderr1,k2_raderr2,k2_mass,k2_masserr1,k2_masserr2,k2_kepmag,k2_kepmagerr,k2_kepmagflag,k2c_disp,k2c_note,k2_gaia_ang_dist,period,bprp,age_gyr
0,210991540,52.95768,22.84023,     ,12.75,5.1,0.5749,       ,       ,       ,0.059000000000000004,2,best, 0.57,0,     ,1,1,Fig,Gaia DR2 67656665605333888,6.765666560533389e+16,2015.5,52.95779022006076,0.13039973052308143,22.839997704516634,0.09191383573891419,8.156125473946151,0.14067893077432841,57.97687911987305,23.90419413350548,0.29738834335109027,-49.832685578864464,0.18616614559168998,0.25344496965408325,-0.24957025051116943,-0.4912293553352356,0.09777410328388214,-0.2531292736530304,-0.02432212419807911,0.07886756956577301,0.4682620167732239,0.02768024429678917,0.1975669115781784,201.37188720703125,0.4691032800802678,5.646330626304782,0.0,0.0,4064.318878850349,8.347409708840955,16.665895462036133,667.1120318762346,13.672864978457858,18.290891647338867,5644.61242818246,28.507477489316233,15.382834434509277,2.90805721282959,1.6249961853027344,1.2830610275268555,0.0,,NOT_AVAILABLE,164.60339405661207,-26.770292553258006,56.20014807164251,3.641944824935656,4448.05322265625,3863.7265625,4841.78662109375,0.22499999403953552,0.19699999690055847,0.6840999722480774,0.13099999725818634,0.11569999903440475,0.3700999915599823,,,,,,,210991540.0,52.957683,22.840233,122.234666544846,120.151998319055,124.389470090958,423.678131230972,1.0,1.0,2MASS J03314984+2250248,4,STAR,1.0,0.0,3563.0,136.0,-164.0,5.03,0.08,-0.06,-0.027,0.15,-0.21,0.25,0.06,-0.06,0.24,0.08,-0.07,15.755,999999.0,JHK,N/A,N/A,0.07610776408091231,0.5749,2.90805721282959,0.15
1,211016313,53.032740000000004,23.23265,     ,12.25,5.05,0.3193,       ,       ,       ,0.055999999999999994,1,best,     ,0,     ,1,1,Fig,Gaia DR2 67878663874731136,6.787866387473114e+16,2015.5,53.032861447330326,0.09161481664317289,23.232432131267704,0.06371552246462957,6.91681070178885,0.11211979916453808,61.69124984741211,19.847110502815365,0.1832472182877444,-42.80039592631492,0.12885771748408348,0.14136305451393127,0.24974589049816132,-0.02482392080128193,0.24773895740509033,-0.2539350688457489,0.06418022513389587,0.22866733372211456,0.3413762152194977,0.20046107470989227,0.18963679671287537,271.0640563964844,0.3926689158135356,8.013319445433389,0.0,0.0,6630.491922144044,17.235017654955296,16.13450050354004,1093.1499478001037,25.017664212693376,17.754688262939453,8878.995113098556,55.23742131207758,14.891010284423828,2.863677978515625,1.620187759399414,1.243490219116211,0.0,,NOT_AVAILABLE,164.38107718559635,-26.424951643736094,56.36173869241821,4.0063377145815595,4024.284912109375,3612.14013671875,4172.52978515625,0.9819999933242798,0.7170000076293945,1.3526999950408936,0.5532000064849854,0.3919000029563904,0.7279999852180481,,,,,,,211016313.0,53.03275,23.232655,144.034074617682,141.727101159067,146.41600458635,426.038435830103,1.0,1.0,2MASS J03320786+2313575,4,STAR,1.0,0.0,3784.0,119.0,-149.0,4.93,0.07,-0.06,-0.056,0.16,-0.24,0.34,0.05,-0.06,0.38,0.07,-0.08,15.459,999999.0,JHK,N/A,N/A,0.151742594184984,0.3193,2.863677978515625,0.15
2,211029135,53.15753,23.43315,     ,13.06,5.76,0.286,       ,       ,       ,0.032,4,best,     ,0,     ,1,1,Fig,Gaia DR2 67899520235887616,6.789952023588762e+16,2015.5,53.157630946944735,0.15810365708671434,23.432923437678713,0.09991477769304145,7.216726916338947,0.14494620945204234,49.78900146484375,20.86188349141383,0.3264315571195742,-44.605518365376,0.21352408390896419,-0.2159869372844696,-0.003002053126692772,-0.5072118639945984,0.5786409378051758,0.05861612409353256,0.47594112157821655,-0.10194233804941177,0.44704729318618774,-0.0348140224814415,-0.300281286239624,180.16400146484375,0.39609546855045363,2.7727195204822217,0.0,0.0,2440.8286434554984,4.039619923066187,17.21952247619629,318.1336764503559,12.094104929247536,19.094863891601562,3515.567813932564,15.260669481896668,15.896931648254395,3.197932243347168,1.8753414154052734,1.3225908279418945,0.0,,NOT_AVAILABLE,164.3357020845536,-26.197646324887376,56.521389326951905,4.173560452788481,,,,,,,,,,,,,,,,211029135.0,53.157534,23.433151,138.105131345729,135.373251147655,140.947484511082,427.807698547687,1.0,1.0,2MASS J03323780+2325593,4,STAR,1.0,0.0,3541.0,120.0,-144.0,5.03,0.08,-0.05,0.002,0.12,-0.18,0.25,0.05,-0.06,0.24,0.07,-0.07,16.434,999999.0,JHK,N/A,N/A,0.12787735764207017,0.286,3.197932243347168,0.15
3,211037397,53.17625,23.56679,     ,12.54,5.58,0.499, 0.3167,       ,       ,0.023,1,best,     ,0,     ,1,1,Fig,Gaia DR2 67998201404864896,6.79982014048649e+16,2015.5,53.1763640515085,0.24488617748834463,23.56656669616072,0.14831013910801397,7.208007520700167,0.22662027340498053,31.806543350219727,20.79155632631967,0.6569782970080043,-44.53650079463327,0.26037492527061,-0.6342097520828247,-0.6173786520957947,-0.8460970520973206,0.7308292984962463,0.5700710415840149,0.7481585144996643,-0.5710374116897583,0.8213377594947815,-0.43133091926574707,-0.6557745337486267,252.1958465576172,0.5401133215420318,7.861612330408041,0.0,0.0,4041.5715457509773,4.891385561326938,16.67198944091797,570.6703818484193,27.849595782252337,18.460424423217773,5762.163440926552,20.242923194747164,15.360456466674805,3.0999679565429688,1.7884349822998047,1.311532974243164,0.0,,NOT_AVAILABLE,164.25491099159257,-26.084088179128873,56.57015969110785,4.299219057582265,4392.75,3760.19482421875,4782.41748046875,0.927299976348877,0.7127000093460083,1.3371000289916992,0.5461999773979187,0.4180000126361847,0.7562999725341797,,,,,,,211037397.0,53.176253,23.566795,138.406642174445,134.161970959767,142.923548038504,428.584983765136,1.0,1.0,2MASS J03324230+2334004,4,STAR,1.0,0.0,3574.0,117.0,-117.0,5.01,0.07,-0.06,-0.011,0.12,-0.18,0.26,0.07,-0.05,0.26,0.08,-0.08,15.877,999999.0,JHK,N/A,N/A,0.1387947824986708,0.499,3.0999679565429688,0.15
4,210946764,53.274269999999994,22.13423,11.36,9.43,1.82,5.766,       ,       ,       ,0.011000000000000001,4,best,     ,0,     ,1,1,Fig,Gaia DR2 61554650949438208,6.155465094943821e+16,2015.5,53.274369361785226,0.038878846312179194,22.134053638090855,0.029705711320140896,7.433992835519158,0.042641444506136245,174.33726501464844,22.24852611350009,0.08522735620724238,-45.90228473559614,0.06848981708841935,0.14375823736190796,0.1788197010755539,-0.3634730577468872,-0.07299633324146271,-0.2978529632091522,-0.09105072170495987,-0.12440930306911469,0.1971275955438614,0.025116611272096634,0.3720096945762634,279.0389404296875,0.0,0.0,1.0,0.0,624323.4997329859,935.0857193386418,11.199841499328613,304551.4842420956,1063.3391614925213,11.642236709594727,450929.23471576587,1042.7131445925925,10.626648902893066,1.0155878067016602,0.4423952102661133,0.5731925964355469,6.446643695666692,0.9839690629078133,NOT_AVAILABLE,165.36502153103808,-27.120944771398243,56.31554105294426,2.886534768058201,5120.89990234375,5018.66650390625,5318.7001953125,0.07400000095367432,0.00800000037997961,0.24729999899864197,0.03700000047683716,0.003700000001117587,0.11240000277757645,0.8810589909553528,0.8167451024055481,0.9173200130462646,0.4809388220310211,0.4769153594970703,0.4849622845649719,210946764.0,53.27425,22.134245,134.001862493204,133.2347476669,134.777702851814,422.29007514085,1.0,1.0,2MASS J03330582+2208032,4,STAR,1.0,0.0,5547.0,133.0,-133.0,4.5,0.04,-0.04,0.02,0.1,-0.1,0.92,0.06,-0.05,0.97,0.05,-0.05,11.189,999999.0,gri,N/A,N/A,0.057778590543204646,5.766,1.0155878067016602,0.15
5,211002011,53.307930000000006,23.00647,11.98,9.67,2.2,7.6495, 6.9112,       ,       ,0.027999999999999997,3,best, 7.07,1,     ,1,1,Fig,Gaia DR2 67680854859714816,6.768085485971482e+16,2015.5,53.30800319775069,0.09205971150974587,23.006239338837474,0.050954302707000375,7.918384735151842,0.10323074154683441,76.7056884765625,22.721006394799147,0.13236839459771624,-48.51700192423092,0.08695724687143067,0.6022744178771973,0.7336617112159729,-0.12299782782793045,0.03270919993519783,0.4790944755077362,-0.07997728139162064,0.07173354178667068,0.04694100469350815,0.1212802305817604,0.3163965344429016,56.02703857421875,0.0,0.0,1.0,1.0,396960.76481149404,404.73709074497975,11.691496849060059,180463.52172064193,650.8667394922279,12.21041488647461,307259.3592998424,954.1045697809674,11.043157577514648,1.167257308959961,0.5189180374145508,0.6483392715454102,5.195142918884594,1.032550957050918,NOT_AVAILABLE,164.7599143020436,-26.43549004566375,56.55383132204053,3.7262252528602806,4959.990234375,4909.38720703125,5017.89990234375,0.00800000037997961,0.004000000189989805,0.16060000658035278,0.004999999888241291,0.0015999999595806003,0.04149999842047691,0.7147207260131836,0.6983193159103394,0.7295305132865906,0.27854204177856445,0.27418091893196106,0.28290316462516785,211002011.0,53.307829,23.006415,125.863774720946,124.236891586477,127.533049096986,426.714047196949,1.0,1.0,2MASS J03331390+2300233,4,STAR,1.0,0.0,5284.0,129.0,-161.0,4.51,0.06,-1.18,-0.158,0.25,-1.1,0.87,2.38,-0.11,0.89,0.16,-0.06,11.703,999999.0,gri,N/A,N/A,0.25487742765793353,7.6495,1.167257308959961,0.15
6,210997742,53.457480000000004,22.93891,     ,13.29,5.21,0.3744,       ,       ,       ,0.037000000000000005,2,ok  ,     ,0,     ,1,1,Fig,Gaia DR2 67667935599570432,6.766793559957043e+16,2015.5,53.45758278804979,0.13017372218582665,22.93867055371301,0.08410947385362198,7.193036747161188,0.13444939411660378,53.49995803833008,20.097673690161738,0.3139002661261364,-44.45170278410971,0.19700781079507707,-0.028217295184731483,0.2131395787000656,-0.14621493220329285,0.18849997222423553,0.07807867228984833,0.15908630192279816,0.02562805637717247,0.08811867237091064,0.059330444782972336,-0.2197176069021225,173.72720336914062,0.39546599719943215,2.64043559424786,0.0,0.0,2399.8109230041077,3.448707219025176,17.23792266845703,370.34459622821663,17.087175977479905,18.929872512817383,3337.425743839421,14.487439483556937,15.953391075134277,2.9764814376831055,1.6919498443603516,1.284531593322754,0.0,,NOT_AVAILABLE,164.92605059475497,-26.398161295083426,56.67177765558478,3.627851775345264,,,,,,,,,,,,,,,,210997742.0,53.457483,22.938919,138.545608610847,135.992016916971,141.19515080936,427.380633092091,1.0,1.0,2MASS J03334979+2256201,4,STAR,1.0,0.0,3770.0,295.0,-184.0,4.95,0.08,-0.1,-0.103,0.16,-0.28,0.32,0.1,-0.08,0.35,0.13,-0.11,16.435,999999.0,JHK,N/A,N/A,0.20631147080509626,0.3744,2.9764814376831055,0.15
7,210989751,53.580630000000006,22.8118,     ,13.93,6.39,0.713,       ,       ,       ,0.033,1,best,     ,0,     ,1,1,Fig,Gaia DR2 67662330666441088,6.766233066644109e+16,2015.5,53.58075226560282,0.28192527169142306,22.811605768551868,0.1934280708377905,7.025049506861288,0.2851622956262222,24.63526725769043,20.167601869554353,0.6780691887203614,-43.24220692201572,0.465242934346077,-0.08004879951477051,0.13392025232315063,-0.18563564121723175,0.32889479398727417,-0.2045983076095581,0.3270585834980011,-0.0220094732940197,-0.014665831811726093,-0.0638928934931755,-0.10774682462215424,130.67715454101562,0.735463718531474,2.600723671007614,0.0,0.0,810.9786753351996,2.061476269751578,18.415842056274414,94.6334193102179,8.17131653000729,20.411277770996094,1286.2214548831648,12.809867611812267,16.988630294799805,3.422647476196289,1.9954357147216797,1.4272117614746094,0.0,,NOT_AVAILABLE,165.11446920120318,-26.421522491573064,56.752074097553944,3.477515422270221,,,,,,,,,,,,,,,,210989751.0,53.580631,22.811804,142.150986364175,136.563965997435,148.205784162816,427.600075491574,1.0,1.0,2MASS J03341935+2248424,4,STAR,1.0,0.0,3611.0,193.0,-193.0,5.01,0.09,-0.09,-0.051,0.15,-0.21,0.26,0.09,-0.07,0.26,0.12,-0.09,17.428,999999.0,JHK,N/A,N/A,0.0997397161185777,0.713,3.422647476196289,0.15
8,210943453,53.7289,22.079629999999998,16.17,11.57,4.49,0.8275,       ,       ,       ,0.021,2,best, 0.83,1,     ,1,1,Fig,Gaia DR2 64555694921236352,6.455569492123635e+16,2015.5,53.72901627649097,0.05981329735440321,22.07945287411292,0.042741311168553064,7.11149342101894,0.06521695102684871,109.04363250732422,19.787954122721867,0.12879022673681223,-42.90097531167673,0.1006084023535105,0.12275674939155579,0.1147412583231926,-0.24869289994239807,0.12967818975448608,-0.1770390272140503,0.12327898293733597,0.23813606798648834,0.18982791900634766,-0.08043145388364792,0.20639126002788544,300.19573974609375,0.29252445781869124,9.227694098782546,0.0,0.0,17398.410992952915,12.602857411011913,15.087091445922852,3795.463273381327,16.725634546960134,16.403226852416992,21107.082121221665,59.07066237363586,13.950849533081055,2.4523773193359375,1.3161354064941406,1.1362419128417969,0.0,,NOT_AVAILABLE,165.76391787005815,-26.88835475251265,56.71231880089882,2.7337080482418075,3590.0,3361.25,4036.816650390625,0.6901999711990356,0.3880000114440918,0.8281000256538391,0.3869999945163727,0.22920000553131104,0.48179998993873596,,,,,,,210943453.0,53.728978,22.079627,140.065865150334,138.788291334749,141.366750462345,425.062392964682,1.0,1.0,2MASS J03345493+2204466,4,STAR,1.0,0.0,3702.0,87.0,-109.0,4.97,0.05,-0.06,0.004,0.1,-0.16,0.31,0.06,-0.05,0.33,0.07,-0.06,14.585,999999.0,JHK,N/A,N/A,0.1830353408254283,0.8275,2.4523773193359375,0.15
9,211051561,53.81775,23.7995,     ,13.19,5.81,0.4725,       ,       ,       ,0.038,1,best,     ,0,     ,1,1,Fig,Gaia DR2 68014964661425280,6.801496466142528e+16,2015.5,53.81787349506571,0.13697823223004194,23.7992508636062,0.08756843772446629,7.413122956708233,0.1436030385569976,51.6223258972168,21.498768859185475,0.3097965788828898,-46.560556486256424,0.1902739487168777,-0.024258211255073547,0.1711888164281845,0.07674479484558105,0.06068367883563042,-0.12345000356435776,-0.0032353512942790985,0.25909754633903503,0.10194380581378937,0.1257513165473938,-0.1378406584262848,250.35401916503906,0.5422610153197758,4.785528755329728,0.0,0.0,2045.2127365257943,3.4445640175987013,17.41152000427246,254.07760145524102,7.330376354661874,19.338972091674805,2961.5049196484224,11.98063733432786,16.083139419555664,3.2558326721191406,1.9274520874023438,1.3283805847167969,0.0,,NOT_AVAILABLE,164.58782870071693,-25.52780773561959,57.19787948039607,4.385845074690815,,,,,,,,,,,,,,,,211051561.0,53.817753,23.799503,134.454932666775,131.887813586698,137.12210815394,434.108836994538,1.0,1.0,2MASS J03351626+2347582,4,STAR,1.0,0.0,3494.0,128.0,-180.0,5.05,0.07,-0.06,0.002,0.12,-0.18,0.22,0.05,-0.05,0.21,0.07,-0.06,16.456,999999.0,JHK,N/A,N/A,0.19659612881220787,0.4725,3.2558326721191406,0.15
